Distributor_code,Store_code,lattitude,longitude
41A7,M0007,13.9258943,81.1158786
41A7,8220,12.92564666,80.11573833
41A7,M0012,12.92560706,80.11607624
41A7,M0028,12.9265188,80.1173057
41A7,M0032,12.9252333,80.116042
41A7,M0037,12.926591,80.1151302
41A7,12456,12.90266164,80.15408806
41A7,M0038,13.92591,81.1160923
41A7,M0039,13.9260966,81.116192
41A7,M0040,12.9303442,80.1150624
41A7,M0041,12.9254692,80.1157464
41A7,M0048,13.92596833,81.11608833
41A7,M0054,13.9258638,81.11574275
41A7,L0016,13.9268548,81.1136881
41A7,50212,12.9254396,80.1154883
41A7,50193,13.9256163,81.1162482
41A7,12461,13.902001,81.1541061
41A7,55514,12.92556524,80.11570572
41A7,2980,12.92567833,80.11615833
41A7,R0001,13.9253659,81.1085874
41A7,R0006,13.92092333,81.09648333
41A7,1138,13.88945166,81.021645
41A7,UD015,13.9181662,81.0810359
41A7,15054,12.92758962,80.11581009
41A7,12466,13.90685833,81.147635
41A7,10907,12.92247106,80.09782794
41A7,19432,13.886395,81.02131833
41A7,26031,12.93222194,80.11564109
41A7,11237,13.917385,81.10694672
41A7,11227,12.91857672,80.10400374
41A7,50748,13.9256071,81.1150616
41A7,16355,12.8855068,80.0215488
41A7,24277,13.9187842,81.0959741
41A7,46517,12.9214486,80.0924431
41A7,47043,12.88629166,80.02099833
41A7,12471,12.9040552,80.1458875
41A7,48240,12.9164216,80.0633523
41A7,48889,12.88579721,80.01609306
41A7,D0011,13.8861948,81.0215002
41A7,50180,13.92614166,81.11604333
41A7,50184,13.9292963,81.1159799
41A7,50182,12.92554666,80.11665333
41A7,D0204,12.9255237,80.1154035
41A7,62029,13.921896,81.0940479
41A7,R0037,13.925632,81.1029747
41A7,15956,13.9224511,81.0959411
41A7,12476,12.90042369,80.17072642
41A7,60202,12.92627494,80.11536433
41A7,M0016,13.92592765,81.11636416
41A7,R0003,13.92547941,81.1041615
41A7,11316,13.92848,81.1317346
41A7,T0007,13.93187333,81.14630333
41A7,T0008,13.92907833,81.14297333
41A7,T0022,12.9315268,80.1397628
41A7,12508,12.90591001,80.1483643
41A7,A0008,12.941396,80.145675
41A7,A0009,13.94148683,81.14555871
41A7,A0011,12.9431565,80.1443605
41A7,A0014,12.9403973,80.1507755
41A7,A0016,13.9402941,81.1504348
41A7,A0018,12.9414478,80.1452802
41A7,A0034,12.9396712,80.1511829
41A7,A0039,13.9459125,81.1381579
41A7,A0046,12.94465184,80.14217376
41A7,12523,12.9196852,80.139129
41A7,A0049,12.9352903,80.1425834
41A7,A0056,13.9423389,81.1512261
41A7,A0064,13.946002,81.1381722
41A7,1936,12.9273128,80.1479768
41A7,14158,13.94241666,81.14100166
41A7,14197,13.9414067,81.1457506
41A7,14218,12.9395746,80.1515565
41A7,6P856,12.9417795,80.151216
41A7,11087,12.9240105,80.155186
41A7,17285,12.9414896,80.1532498
41A7,19588,12.9346299,80.139798
41A7,12528,12.92046833,80.14486
41A7,19627,12.9372972,80.1528264
